city,neighborhood,zip_code,street_name,street_number,floor,floor_location,door,property_type,construction_date,renovation_year,number_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_balconies,number_of_garages,number_of_parking,number_of_floors,number_of_units,living_area,total_area,is_barrier_free,heating_type,has_energy_certificate,has_garage,has_parking,has_balcony,price,lon,lat
lopppp,Ludwigsfeld,90478,Schanzenstraße,13,,,,multi_family_house,2014-02-09,,,,,,,,,15.0,1288.0,913.0,,,,,False,,999999999.0,11.099906,49.446582
London,Ludwigsfeld,90478,Schanzenstraße,13,,,,multi_family_house,2014-02-09,,,,,,,,,15.0,1288.0,913.0,,,,,False,,999999999.0,11.099906,49.446582
Munchen,Ludwigsfeld,90478,Schanzenstraße,13,,,,multi_family_house,2014-02-09,,,,,,,,,15.0,1288.0,913.0,,,,,False,,999999999.0,11.099906,49.446582
Nürnberg,Ludwigsfeld,90478,Schanzenstraße,13,,,,multi_family_house,2014-02-09,,,,,,,,,15.0,1288.0,913.0,,,,,False,,999999999.0,11.099906,49.446582
Nürnberg,Marienvorstadt,90402,Hadermühle,6,,,,multi_family_house,1987-10-19,,,,,,,,,5.0,475.0,821.0,,,,,False,,1.0,11.088089,49.450603
Nürnberg,Ludwigsfeld,90478,Velburger Straße,49,,,,multi_family_house,1967-04-18,,,,,,,,,9.0,601.0,593.0,,,,,False,,,11.110542,49.442524000000006
Nürnberg,Mögeldorf,90482,Ebenreuther Straße,32,,,,single_family_house,1972-05-18,,,,,,,,,1.0,125.0,349.0,,,,,False,,470103.0,11.144319999999999,49.465485
Nürnberg,Boxdorf,90427,St.-Joseph-Siedlung,7,,,,single_family_house,1964-06-06,,,,,,,,,1.0,91.0,169.0,,,,,False,,349652.0,11.030407,49.517823
Nürnberg,Neunhof,90427,Martin-Gnad-Straße,32,,,,,2027-10-09,,,,,,,,,1.0,114.0,564.0,,,,,False,,642643.0,11.045637,49.517025
Nürnberg,Großgründlach,90427,Offenbacher Straße,4,,,,single_family_house,1977-04-01,,,,,,,,,1.0,161.0,659.0,,,,,False,,517812.0,11.009544,49.525911
Nürnberg,"Kornburg, Worzeldorf",90455,Zum Klösterle,33,,,,single_family_house,1988-01-17,,,,,,,,,1.0,192.0,898.0,,,,,False,,627442.0,11.07602,49.379830000000005
Nürnberg,Wöhrd,90489,Ludwig-Feuerbach-Straße,36,,,,,1943-02-04,,,,,,,,,11.0,676.0,537.0,,,,,False,,1972740.0,11.096662,49.460285
Nürnberg,Galgenhof,90459,Bulmannstraße,34,,,,multi_family_house,1905-08-10,,,,,,,,,11.0,771.0,277.0,,,,,False,,1982654.0,11.083517,49.439819
Nürnberg,Gartenstadt,90469,Muldenweg,15,,,,single_family_house,1939-11-25,,,,,,,,,1.0,114.0,321.0,,,,,False,,252770.0,11.074257,49.417775
Nürnberg,Ludwigsfeld,90478,Schloßstraße,24,,,,multi_family_house,1977-09-07,,,,,,,,,15.0,918.0,757.0,,,,,False,,2668155.0,11.104324,49.444284
Nürnberg,Ludwigsfeld,90478,Ludwig-Frank-Straße,8,,,,single_family_house,1942-03-04,,,,,,,,,1.0,89.0,477.0,,,,,False,,236740.0,11.1077,49.439315
Nürnberg,Marienberg ,90411,Herrnhüttestraße,47,,,,single_family_house,2028-11-13,,,,,,,,,1.0,152.0,268.0,,,,,False,,495454.0,11.101977,49.480446
Nürnberg,Gaismannshof,90431,Neustädter Straße,39,,,,single_family_house,1929-01-08,,,,,,,,,1.0,94.0,269.0,,,,,False,,,11.027714,49.45451
Nürnberg,Boxdorf,90427,Zum Himmelreich,1 a,,,,single_family_house,1963-02-03,,,,,,,,,1.0,139.0,883.0,,,,,False,,467160.0,11.024745999999999,49.519677
Nürnberg,Ziegelstein,90411,Ziegelsteinstraße,222 a,,,,single_family_house,1982-02-19,,,,,,,,,1.0,108.0,310.0,,,,,False,,494443.0,11.108189999999999,49.490757
Nürnberg,Erlenstegen,90491,Günthersbühler Straße,25,,,,single_family_house,1931-01-03,,,,,,,,,1.0,174.0,721.0,,,,,False,,890525.0,11.137338,49.474470000000004
Nürnberg,Großreuth b. Schweinau,90431,Wallensteinstraße,48,,,,multi_family_house,1962-08-09,,,,,,,,,4.0,235.0,321.0,,,,,False,,641003.0,11.034350000000002,49.43883
Nürnberg,Himpfelshof,90419,Kleinweidenmühle,17,,,,single_family_house,1993-06-09,,,,,,,,,1.0,103.0,264.0,,,,,False,,540391.0,11.063492,49.455865
Nürnberg,Dianastraße,90441,Dianastraße,65,,,,multi_family_house,1895-04-26,,,,,,,,,4.0,367.0,756.0,,,,,False,,535118.0,11.064834,49.426737
Nürnberg,Katzwang,90453,Harrlacher Straße,57,,,,single_family_house,1970-07-26,,,,,,,,,1.0,101.0,262.0,,,,,False,,458370.0,11.045682,49.373698000000005
Nürnberg,Werderau,90441,Kochstraße,19,,,,multi_family_house,1939-05-02,,,,,,,,,8.0,490.0,1094.0,,,,,False,,943301.0,11.063307,49.422007
Nürnberg,Katzwang,90453,Brunnauer Straße,7,2.0,right,,apartment,1999-09-10,2018-01-01,4.0,,,,,0.0,0.0,1.0,143.0,-1.0,,central_heating,,,,True,380032.0,11.044743,49.372455
Nürnberg,Guntherstraße,90461,Rankestraße,27,,,,multi_family_house,1954-04-25,,,,,,,,,14.0,1370.0,577.0,,,,,False,,3621131.0,11.10042,49.437698
